index,forest_length,likelihood,prior,posterior,leaves
188,3.03274,-5288.71,-41.7577,-5330.46,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
189,3.15709,-5280.9,-41.7691,-5322.67,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
190,3.38721,-5056.77,-41.7993,-5098.57,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
191,2.65275,-4926.39,-41.7779,-4968.17,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
192,3.16517,-5104.6,-41.7769,-5146.38,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
193,3.21908,-5110.44,-41.7934,-5152.23,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
194,3.13408,-5028.59,-41.7788,-5070.37,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
195,3.30877,-5276.21,-41.7842,-5318,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
196,3.24455,-5281.49,-41.7801,-5323.27,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
197,3.30671,-5116.5,-41.8044,-5158.31,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
198,3.44306,-5029.13,-41.812,-5070.95,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
199,3.32109,-5358.22,-41.7866,-5400.01,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
200,2.83253,-5004.09,-41.7758,-5045.87,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
201,3.23809,-5055.11,-41.8,-5096.91,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
202,3.27196,-5088.03,-41.7939,-5129.83,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
203,3.45999,-5451.27,-41.7946,-5493.07,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
204,3.30341,-5104.47,-41.7936,-5146.26,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
205,2.7929,-4929.8,-41.81,-4971.61,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
206,3.23294,-5277.62,-41.775,-5319.4,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
207,3.12803,-5060.12,-41.8007,-5101.92,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
208,3.19884,-5100.62,-41.7886,-5142.41,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
209,2.74829,-4932.23,-41.7883,-4974.02,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
210,2.75513,-5008.49,-41.7648,-5050.25,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
211,3.23867,-5087.85,-41.7872,-5129.64,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
212,3.47214,-5455.05,-41.7951,-5496.84,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
213,3.47855,-5055.74,-41.807,-5097.55,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
214,3.39032,-5108.04,-41.7959,-5149.84,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
215,2.96115,-5153.11,-41.7642,-5194.88,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
216,3.30316,-5037.81,-41.7841,-5079.6,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
217,3.02932,-5050.46,-41.7937,-5092.25,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
218,3.18174,-5124.18,-41.772,-5165.96,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
219,3.26731,-5318.96,-41.7855,-5360.75,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
220,3.30069,-5356.67,-41.785,-5398.45,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
221,3.23723,-5090.79,-41.7906,-5132.58,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
222,3.3097,-5362.94,-41.7845,-5404.73,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
223,2.58268,-4935.43,-41.7758,-4977.21,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
224,3.25766,-5101.15,-41.7857,-5142.93,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
225,3.30911,-5374.8,-41.781,-5416.58,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
226,3.33907,-5039.04,-41.7872,-5080.83,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
